source_row_id,cxc_id,cod_apli_prod,descri_cod_apli_prod,num_cta,cod_trn,descri_cod_trn,creation_date,last_payment_date,reference_date,vlr_original,vlr_pagado,vlr_pendiente_pago,age_days,days_since_last_payment,days_creation_to_last_payment,recovery_rate,pending_rate,payment_status,is_fully_paid,is_partially_paid,is_unpaid,is_amount_consistent,has_payment_date_without_paid_amount,age_bucket
49,CXC_000049,S,AHORRO,45998971782,2106,COMISION TRANSFERENCIA EXTERNA B,2025-01-28,2025-05-30,2025-10-11,595.69,595.69,0.0,256,134,122,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
50,CXC_000050,S,AHORRO,22624164094,2107,CARGO FISCAL IVA TRASLADO,2025-06-09,2025-08-15,2025-10-11,6487.36,6487.36,0.0,124,57,67,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
51,CXC_000051,S,AHORRO,38365468984,2106,COMISION TRANSFERENCIA EXTERNA B,2025-05-22,2025-06-18,2025-10-11,1041.07,1041.07,0.0,142,115,27,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
52,CXC_000052,S,AHORRO,19877333447,1517,COBRO SERVICIO TRANSPORTE,2025-02-07,2025-05-12,2025-10-11,913.43,0.0,913.43,246,152,94,0.0,1.0,sin_pago,0,0,1,1,1,181_360_dias
53,CXC_000053,S,AHORRO,53220609322,2107,CARGO FISCAL IVA TRASLADO,2025-01-01,2025-06-30,2025-10-11,719.86,647.87,71.99,283,103,180,0.899994,0.100006,pago_parcial,0,1,0,1,0,181_360_dias
54,CXC_000054,S,AHORRO,85416830563,87,CARGO FISCAL IVA COMISION B,2024-10-23,2025-06-29,2025-10-11,7790.26,7790.26,0.0,353,104,249,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
55,CXC_000055,S,AHORRO,69204277348,1157,COMISION CONSULTA SALDO,2024-12-31,2025-01-12,2025-10-11,1239.73,1239.73,0.0,284,272,12,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
56,CXC_000056,S,AHORRO,15433220927,834,CARGO FISCAL TRANSACCIONAL,2025-06-28,2025-09-15,2025-10-11,1116.18,1116.18,0.0,105,26,79,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
57,CXC_000057,S,AHORRO,17609249256,75,OPERACION CAMBIO DIVISAS,2025-06-23,2025-07-06,2025-10-11,271.54,271.54,0.0,110,97,13,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
58,CXC_000058,S,AHORRO,25065785352,1878,PAGO PLATAFORMA ELECTRONICA,2024-11-03,2025-05-15,2025-10-11,4948.28,4948.28,0.0,342,149,193,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
59,CXC_000059,S,AHORRO,84267650406,627,TRANSFERENCIA BILLETERA A,2025-02-14,2025-05-03,2025-10-11,1175.95,0.0,1175.95,239,161,78,0.0,1.0,sin_pago,0,0,1,1,1,181_360_dias
60,CXC_000060,S,AHORRO,99007958746,371,COMISION CANAL TELEFONICO,2025-05-05,2025-09-12,2025-10-11,6373.0,6373.0,0.0,159,29,130,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
61,CXC_000061,S,AHORRO,47041038338,2231,PAGO PROGRAMADO,2024-12-02,2024-12-20,2025-10-11,111.02,99.92,11.1,313,295,18,0.900018,0.099982,pago_parcial,0,1,0,1,0,181_360_dias
62,CXC_000062,S,AHORRO,98997524099,2106,COMISION TRANSFERENCIA EXTERNA B,2025-06-03,2025-06-12,2025-10-11,767.01,767.01,0.0,130,121,9,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
63,CXC_000063,S,AHORRO,86916394339,2010,TRANSFERENCIA BANCA MOVIL,2024-10-25,2025-01-14,2025-10-11,7247.49,7247.49,0.0,351,270,81,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
64,CXC_000064,S,AHORRO,24227752136,627,TRANSFERENCIA BILLETERA A,2025-01-20,2025-06-12,2025-10-11,1164.41,1164.41,0.0,264,121,143,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
65,CXC_000065,S,AHORRO,77206822050,1554,DEBITO OBLIGACION FINANCIERA,2024-11-21,2025-01-01,2025-10-11,422.16,422.16,0.0,324,283,41,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
66,CXC_000066,S,AHORRO,64395965979,365,PAGO CANAL QR,2024-11-28,2024-12-01,2025-10-11,6246.0,0.0,6246.0,317,314,3,0.0,1.0,sin_pago,0,0,1,1,1,181_360_dias
67,CXC_000067,S,AHORRO,59788745499,137,COMISION RETIRO CANAL A,2025-01-04,2025-08-07,2025-10-11,1302.78,1302.78,0.0,280,65,215,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
68,CXC_000068,S,AHORRO,69498393998,176,COMISION RETIRO CORRESPONSAL B,2024-10-28,2025-09-05,2025-10-11,1588.6,1429.74,158.86,348,36,312,0.9,0.1,pago_parcial,0,1,0,1,0,181_360_dias
69,CXC_000069,S,AHORRO,27152228361,834,CARGO FISCAL TRANSACCIONAL,2024-11-19,2025-06-04,2025-10-11,7463.87,7463.87,0.0,326,129,197,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
70,CXC_000070,S,AHORRO,95008148277,2106,COMISION TRANSFERENCIA EXTERNA B,2025-01-14,2025-05-05,2025-10-11,583.97,583.97,0.0,270,159,111,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
71,CXC_000071,S,AHORRO,40586882010,176,COMISION RETIRO CORRESPONSAL B,2025-02-16,2025-07-09,2025-10-11,346.04,346.04,0.0,237,94,143,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
72,CXC_000072,S,AHORRO,35178431407,497,PAGO SERVICIO ELECTRONICO,2025-03-19,2025-06-13,2025-10-11,859.82,859.82,0.0,206,120,86,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
73,CXC_000073,S,AHORRO,32268727222,1517,COBRO SERVICIO TRANSPORTE,2025-03-23,2025-07-14,2025-10-11,15432.26,15432.26,0.0,202,89,113,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
74,CXC_000074,S,AHORRO,15578685000,87,CARGO FISCAL IVA COMISION B,2024-10-21,2024-11-25,2025-10-11,615.91,615.91,0.0,355,320,35,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
75,CXC_000075,D,CORRIENTE,70988709976,834,CARGO FISCAL TRANSACCIONAL,2025-02-22,2025-09-20,2025-10-11,75.38,75.38,0.0,231,21,210,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
76,CXC_000076,S,AHORRO,42855496188,2287,RETIRO CANAL B,2025-05-17,2025-09-09,2025-10-11,166.81,166.81,0.0,147,32,115,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
77,CXC_000077,S,AHORRO,48660074769,834,CARGO FISCAL TRANSACCIONAL,2025-07-12,2025-10-07,2025-10-11,1268.02,1268.02,0.0,91,4,87,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
78,CXC_000078,S,AHORRO,99116282400,1517,COBRO SERVICIO TRANSPORTE,2025-01-05,2025-07-28,2025-10-11,1867.93,1867.93,0.0,279,75,204,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
79,CXC_000079,S,AHORRO,38375846892,2106,COMISION TRANSFERENCIA EXTERNA B,2024-11-21,2025-07-21,2025-10-11,1094.59,1094.59,0.0,324,82,242,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
80,CXC_000080,S,AHORRO,84132736036,176,COMISION RETIRO CORRESPONSAL B,2025-03-25,2025-07-26,2025-10-11,607.59,607.59,0.0,200,77,123,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
81,CXC_000081,S,AHORRO,59732949239,497,PAGO SERVICIO ELECTRONICO,2024-11-25,2025-09-27,2025-10-11,2652.4,2652.4,0.0,320,14,306,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
82,CXC_000082,S,AHORRO,21254199574,627,TRANSFERENCIA BILLETERA A,2025-01-12,2025-09-28,2025-10-11,507.19,507.19,0.0,272,13,259,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
83,CXC_000083,S,AHORRO,32228459035,1517,COBRO SERVICIO TRANSPORTE,2025-01-16,2025-03-20,2025-10-11,2354.68,0.0,2354.68,268,205,63,0.0,1.0,sin_pago,0,0,1,1,1,181_360_dias
84,CXC_000084,S,AHORRO,19320471201,834,CARGO FISCAL TRANSACCIONAL,2024-10-22,2025-02-22,2025-10-11,2026.3,2026.3,0.0,354,231,123,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
85,CXC_000085,S,AHORRO,31582281894,1517,COBRO SERVICIO TRANSPORTE,2025-03-03,2025-05-18,2025-10-11,657.54,657.54,0.0,222,146,76,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
86,CXC_000086,S,AHORRO,88769994000,1517,COBRO SERVICIO TRANSPORTE,2025-02-22,2025-04-11,2025-10-11,10984.26,8274.13,2710.13,231,183,48,0.753271,0.246729,pago_parcial,0,1,0,1,0,181_360_dias
87,CXC_000087,S,AHORRO,82810718353,834,CARGO FISCAL TRANSACCIONAL,2025-03-29,2025-09-13,2025-10-11,489.48,489.48,0.0,196,28,168,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
88,CXC_000088,S,AHORRO,61895435266,1517,COBRO SERVICIO TRANSPORTE,2025-07-05,2025-08-03,2025-10-11,465.44,465.44,0.0,98,69,29,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
89,CXC_000089,S,AHORRO,34104778164,2106,COMISION TRANSFERENCIA EXTERNA B,2025-04-29,2025-09-10,2025-10-11,15590.95,0.0,15590.95,165,31,134,0.0,1.0,sin_pago,0,0,1,1,1,91_180_dias
90,CXC_000090,S,AHORRO,68917881289,834,CARGO FISCAL TRANSACCIONAL,2024-10-19,2025-07-04,2025-10-11,15090.4,15090.4,0.0,357,99,258,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
91,CXC_000091,S,AHORRO,64227378553,1157,COMISION CONSULTA SALDO,2025-04-12,2025-04-15,2025-10-11,1441.13,0.0,1441.13,182,179,3,0.0,1.0,sin_pago,0,0,1,1,1,181_360_dias
92,CXC_000092,S,AHORRO,10806676743,176,COMISION RETIRO CORRESPONSAL B,2025-02-25,2025-06-21,2025-10-11,3292.33,3292.33,0.0,228,112,116,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
93,CXC_000093,S,AHORRO,36659741028,1517,COBRO SERVICIO TRANSPORTE,2025-07-06,2025-10-02,2025-10-11,756.8,756.8,0.0,97,9,88,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
94,CXC_000094,S,AHORRO,50513841518,1517,COBRO SERVICIO TRANSPORTE,2024-11-02,2025-04-26,2025-10-11,9373.91,3577.69,5796.22,343,168,175,0.381665,0.618335,pago_parcial,0,1,0,1,0,181_360_dias
95,CXC_000095,S,AHORRO,60560408704,1642,CXC DEPOSITO CANAL,2024-12-20,2025-07-18,2025-10-11,174.73,174.73,0.0,295,85,210,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
96,CXC_000096,S,AHORRO,42228797009,1833,CARGO FISCAL IVA B,2024-10-16,2025-01-03,2025-10-11,7212.9,2189.78,5023.12,360,281,79,0.303592,0.696408,pago_parcial,0,1,0,1,0,181_360_dias
97,CXC_000097,S,AHORRO,82642926292,137,COMISION RETIRO CANAL A,2025-06-11,2025-09-30,2025-10-11,1462.18,1462.18,0.0,122,11,111,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
98,CXC_000098,S,AHORRO,51425659334,834,CARGO FISCAL TRANSACCIONAL,2025-06-22,2025-07-18,2025-10-11,990.9,990.9,0.0,111,85,26,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
99,CXC_000099,S,AHORRO,56387104636,497,PAGO SERVICIO ELECTRONICO,2025-04-27,2025-06-04,2025-10-11,1831.36,1831.36,0.0,167,129,38,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
100,CXC_000100,S,AHORRO,70425315358,1517,COBRO SERVICIO TRANSPORTE,2025-03-24,2025-08-30,2025-10-11,319.29,287.36,31.93,201,42,159,0.899997,0.100003,pago_parcial,0,1,0,1,0,181_360_dias
101,CXC_000101,S,AHORRO,60132847265,1517,COBRO SERVICIO TRANSPORTE,2024-12-04,2025-04-28,2025-10-11,1988.38,1988.38,0.0,311,166,145,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
102,CXC_000102,S,AHORRO,15824883372,1517,COBRO SERVICIO TRANSPORTE,2024-12-14,2025-09-07,2025-10-11,10196.1,10196.1,0.0,301,34,267,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
103,CXC_000103,S,AHORRO,31939542173,795,PAGO AUTOMATICO TARJETA B,2025-02-12,2025-08-19,2025-10-11,5425.68,4883.11,542.57,241,53,188,0.9,0.1,pago_parcial,0,1,0,1,0,181_360_dias
104,CXC_000104,S,AHORRO,70674865079,834,CARGO FISCAL TRANSACCIONAL,2025-06-15,2025-07-30,2025-10-11,7270.09,7270.09,0.0,118,73,45,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
105,CXC_000105,S,AHORRO,96749938933,834,CARGO FISCAL TRANSACCIONAL,2025-05-03,2025-06-08,2025-10-11,10405.96,10405.96,0.0,161,125,36,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
106,CXC_000106,S,AHORRO,43210648011,1128,RETIRO CORRESPONSAL B,2024-12-29,2025-05-24,2025-10-11,3007.7,3007.7,0.0,286,140,146,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
107,CXC_000107,S,AHORRO,57461834716,834,CARGO FISCAL TRANSACCIONAL,2024-12-10,2025-08-11,2025-10-11,20270.96,20270.96,0.0,305,61,244,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
108,CXC_000108,S,AHORRO,41928589107,334,COMISION CONSULTA EXTERNO,2025-04-11,2025-06-19,2025-10-11,522.24,522.24,0.0,183,114,69,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
109,CXC_000109,S,AHORRO,65336636498,1517,COBRO SERVICIO TRANSPORTE,2025-02-17,2025-07-26,2025-10-11,4611.51,4611.51,0.0,236,77,159,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
110,CXC_000110,S,AHORRO,62992096374,574,COMISION RETIRO INTERNACIONAL,2025-04-08,2025-08-09,2025-10-11,5129.7,5129.7,0.0,186,63,123,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
111,CXC_000111,S,AHORRO,18948164912,176,COMISION RETIRO CORRESPONSAL B,2025-04-28,2025-06-22,2025-10-11,121133.18,121133.18,0.0,166,111,55,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
112,CXC_000112,S,AHORRO,45353496015,497,PAGO SERVICIO ELECTRONICO,2025-02-01,2025-04-06,2025-10-11,3598.18,3598.18,0.0,252,188,64,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
113,CXC_000113,S,AHORRO,38796359200,137,COMISION RETIRO CANAL A,2025-05-13,2025-06-16,2025-10-11,125360.81,0.0,125360.81,151,117,34,0.0,1.0,sin_pago,0,0,1,1,1,91_180_dias
114,CXC_000114,S,AHORRO,55580423851,834,CARGO FISCAL TRANSACCIONAL,2025-06-11,2025-07-23,2025-10-11,10493.3,10493.3,0.0,122,80,42,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
115,CXC_000115,S,AHORRO,29354515607,176,COMISION RETIRO CORRESPONSAL B,2024-11-02,2025-03-15,2025-10-11,5844.56,5844.56,0.0,343,210,133,1.0,0.0,pagada_total,1,0,0,1,0,181_360_dias
116,CXC_000116,S,AHORRO,99735938118,834,CARGO FISCAL TRANSACCIONAL,2025-07-01,2025-10-02,2025-10-11,402.84,374.78,28.06,102,9,93,0.930345,0.069655,pago_parcial,0,1,0,1,0,91_180_dias
117,CXC_000117,S,AHORRO,65649558682,2107,CARGO FISCAL IVA TRASLADO,2025-05-04,2025-09-18,2025-10-11,8139.09,7325.18,813.91,160,23,137,0.9,0.1,pago_parcial,0,1,0,1,0,91_180_dias
118,CXC_000118,S,AHORRO,46707833749,1517,COBRO SERVICIO TRANSPORTE,2025-06-14,2025-07-12,2025-10-11,1158.84,1158.84,0.0,119,91,28,1.0,0.0,pagada_total,1,0,0,1,0,91_180_dias
